SPX04101265P;DZ;FV;GM;MP;OUP;PH;PL;PO;TA;VG;VL
2010-03-04;-0.99721;144.197;4e-05;143.85;1122.97;143.85;143.85;143.85;0.07391;0.006833;0.1066
2010-03-05;-0.95633;129.65;0.00128;129.65;1138.69;129.65;129.65;129.65;0.182787;0.338605;0.1813
2010-03-08;-0.96824;129.2;0.00106;129.2;1138.5;129.2;129.2;129.2;0.155185;0.248012;0.1737
2010-03-09;-0.99715;126.454;8e-05;126.0;1140.45;126.0;126.0;126.0;0.076254;0.010776;0.1051
2010-03-10;-0.99792;121.288;2e-05;120.85;1145.61;120.85;120.85;120.85;0.076602;0.002129;0.0886
2010-03-11;-0.99767;116.574;5e-05;115.85;1150.24;115.85;115.85;115.85;0.076018;0.006365;0.0945
2010-03-12;-0.99752;116.775;7e-05;115.15;1149.99;115.15;115.15;115.15;0.076564;0.008488;0.0989
2010-03-15;-0.99837;116.098;;115.85;1150.51;115.85;115.85;115.85;0.075066;0.000189;0.0783
2010-03-16;-0.99777;107.11;7e-05;106.9;1159.46;106.9;106.9;106.9;0.077176;0.0077;0.0958
2010-03-17;-0.97009;100.851;0.0013;100.85;1166.21;100.85;100.85;100.85;0.155034;0.213638;0.1522
2010-03-18;-0.99736;100.629;0.00013;100.05;1165.83;100.05;100.05;100.05;0.078058;0.012919;0.0982
2010-03-19;-0.99862;106.482;;105.45;1159.9;105.45;105.45;105.45;0.073538;7e-06;0.0655
2010-03-22;-0.99831;100.418;6e-05;99.7;1165.81;99.7;99.7;99.7;0.07521;0.004889;0.0969
2010-03-23;-0.9915;92.1;0.00056;92.1;1174.17;92.1;92.1;92.1;0.097002;0.059732;0.1225
2010-03-24;-0.99834;98.334;7e-05;97.25;1167.72;97.25;97.25;97.25;0.070838;0.005375;0.1003
2010-03-25;-0.99885;100.294;1e-05;99.0;1165.73;99.0;99.0;99.0;0.070783;0.000804;0.0903
2010-03-26;-0.99896;99.4;;98.15;1166.58;98.15;98.15;98.15;0.070986;0.000179;0.0836
2010-03-29;-0.98111;92.902;0.00105;92.9;1173.22;92.9;92.9;92.9;0.150644;0.112177;0.1667
2010-03-30;-0.99918;92.546;;92.35;1173.27;92.35;92.35;92.35;0.073843;2.4e-05;0.0786
2010-03-31;-0.99919;96.344;1e-05;96.25;1169.43;96.25;96.25;96.25;0.074816;0.000388;0.0987
2010-04-01;-0.99656;87.65;0.00028;87.65;1178.1;87.65;87.65;87.65;0.087932;0.0193;0.1313
2010-04-02;-0.99656;87.65;0.00028;87.65;1178.1;;;;0.087932;0.0193;0.1313
2010-04-05;-0.99779;78.089;0.00021;78.05;1187.44;78.05;78.05;78.05;0.084831;0.010728;0.1309
2010-04-06;-0.99953;76.026;;75.35;1189.44;75.35;75.35;75.35;0.075039;4.5e-05;0.0894
2010-04-07;-0.99958;82.961;;82.8;1182.45;82.8;82.8;82.8;0.074393;8e-05;0.1074
2010-04-08;-0.99964;78.916;;77.8;1186.44;77.8;77.8;77.8;0.073736;;0.0696
2010-04-09;-0.99969;70.938;;68.6;1194.37;68.6;68.6;68.6;0.074325;;0.06
2010-04-12;-0.98383;68.85;0.00129;68.85;1196.48;68.85;68.85;68.85;0.372672;0.043448;0.2854
2010-04-13;-0.94269;68.8;0.00278;68.8;1197.3;68.8;68.8;68.8;1.787436;0.101692;0.4663
2010-04-14;-0.96835;54.75;0.0025;54.75;1210.65;54.75;54.75;54.75;1.537651;0.045016;0.4492
2010-04-15;;;;53.0;1211.67;53.0;53.0;53.0;;;
2008-04-15;;;;;1334.43;;;;;;
2008-04-16;;;;;1364.71;;;;;;
2008-04-17;;;;;1365.56;;;;;;
2008-04-18;;;;;1390.332;;;;;;
2008-04-21;;;;;1388.17;;;;;;
2008-04-22;;;;;1375.94;;;;;;
2008-04-23;;;;;1379.93;;;;;;
2008-04-24;;;;;1388.82;;;;;;
2008-04-25;;;;;1397.84;;;;;;
2008-04-28;;;;;1396.37;;;;;;
2008-04-29;;;;;1390.94;;;;;;
2008-04-30;;;;;1385.59;;;;;;
2008-05-01;;;;;1409.34;;;;;;
2008-05-02;;;;;1413.897;;;;;;
2008-05-05;;;;;1407.49;;;;;;
2008-05-06;;;;;1418.26;;;;;;
2008-05-07;;;;;1392.57;;;;;;
2008-05-08;;;;;1397.68;;;;;;
2008-05-09;;;;;1388.281;;;;;;
2008-05-12;;;;;1403.58;;;;;;
2008-05-13;;;;;1403.04;;;;;;
2008-05-14;;;;;1408.66;;;;;;
2008-05-15;;;;;1423.57;;;;;;
2008-05-16;;;;;1425.346;;;;;;
2008-05-19;;;;;1426.63;;;;;;
2008-05-20;;;;;1413.398;;;;;;
2008-05-21;;;;;1390.71;;;;;;
2008-05-22;;;;;1394.35;;;;;;
2008-05-23;;;;;1375.932;;;;;;
2008-05-26;;;;;1375.932;;;;;;
2008-05-27;;;;;1385.35;;;;;;
2008-05-28;;;;;1390.84;;;;;;
2008-05-29;;;;;1398.263;;;;;;
2008-05-30;;;;;1400.376;;;;;;
2008-06-02;;;;;1385.67;;;;;;
2008-06-03;;;;;1377.653;;;;;;
2008-06-04;;;;;1377.2;;;;;;
2008-06-05;;;;;1404.05;;;;;;
