SPX04101260P;DZ;FV;GM;MP;OI;OUP;PH;PL;PO;TA;VG;VL;VM
2010-01-14;-0.89828;119.5;0.00206;119.5;;1148.46;119.5;119.5;119.5;0.172516;0.988088;0.1443;
2010-01-15;-0.90019;132.0;0.00187;132.0;;1136.03;132.0;132.0;132.0;0.182624;0.95348;0.1605;
2010-01-18;-0.90019;132.0;0.00187;132.0;;1136.03;;;;0.182624;0.95348;0.1605;
2010-01-19;-0.88696;118.601;0.00216;118.6;;1150.232;118.6;118.6;118.6;0.201665;1.03893;0.1544;
2010-01-20;-0.91109;129.302;0.00182;129.3;;1138.04;129.3;129.3;129.3;0.176524;0.850035;0.1551;
2010-01-21;-0.90822;151.453;0.0016;151.45;;1116.479;151.45;151.45;151.45;0.199631;0.850004;0.1857;
2010-01-22;-0.98252;172.004;0.00048;172.0;;1091.755;172.0;172.0;172.0;0.079969;0.175865;0.1365;
2010-01-25;-0.93859;169.2;0.00119;169.2;;1096.784;169.2;169.2;169.2;0.162878;0.588882;0.1875;
2010-01-26;-0.91645;175.302;0.00135;175.3;;1092.17;175.3;175.3;175.3;0.210279;0.7505;0.216;
2010-01-27;-0.94043;168.3;0.00118;168.3;;1097.504;168.3;168.3;168.3;0.162137;0.567949;0.1872;
2010-01-28;-0.93093;182.1;0.00119;182.1;;1084.526;182.1;182.1;182.1;0.191855;0.630261;0.214;
2010-01-29;-0.96041;191.05;0.00082;191.05;;1073.869;191.05;191.05;191.05;0.136973;0.382602;0.1937;
2010-02-01;-0.95334;175.951;0.00098;175.95;;1089.189;175.95;175.95;175.95;0.150823;0.442324;0.1893;
2010-02-02;-0.91381;164.151;0.00145;164.15;;1103.323;164.15;164.15;164.15;0.227568;0.743456;0.2137;
2010-02-03;-0.99201;166.573;0.00021;165.95;;1097.281;165.95;165.95;165.95;0.083904;0.059134;0.1206;
2010-02-04;-0.99406;200.383;0.00011;199.85;;1063.11;199.85;199.85;199.85;0.075578;0.031228;0.137;
2010-02-05;-0.91718;201.151;0.00119;201.15;;1066.187;201.15;201.15;201.15;0.250658;0.682406;0.2666;
2010-02-08;-0.98911;206.401;0.00026;206.4;;1056.74;206.4;206.4;206.4;0.08128;0.090763;0.1698;
2010-02-09;-0.94555;194.803;0.00099;194.8;;1070.52;194.8;194.8;194.8;0.189294;0.472361;0.2337;
2010-02-10;-0.93674;197.604;0.00106;197.6;;1068.13;197.6;197.6;197.6;0.212882;0.530868;0.2498;
2010-02-11;-0.98153;185.15;0.00049;185.15;;1078.47;185.15;185.15;185.15;0.106337;0.169005;0.1731;
2010-02-12;-0.99632;187.636;2e-05;182.7;;1075.51;182.7;182.7;182.7;0.073716;0.003401;0.11;
2010-02-15;-0.99632;187.636;2e-05;182.7;;1075.51;;;;0.073716;0.003401;0.11;
2010-02-16;-0.98317;168.501;0.0005;168.5;;1094.87;168.5;168.5;168.5;0.105197;0.151644;0.1605;
2010-02-17;-0.99669;163.523;1e-05;162.05;;1099.51;162.05;162.05;162.05;0.077121;0.002016;0.0953;
2010-02-18;-0.98429;156.401;0.00051;156.4;;1106.75;156.4;156.4;156.4;0.100561;0.142038;0.1492;
2010-02-19;-0.94763;155.302;0.00119;155.3;;1109.17;155.3;155.3;155.3;0.183738;0.439579;0.1985;
2010-02-22;-0.99703;154.7;2e-05;153.7;;1108.01;153.7;153.7;153.7;0.075666;0.002632;0.0962;
2010-02-23;-0.99702;168.023;2e-05;164.15;;1094.6;164.15;164.15;164.15;0.074845;0.003571;0.1088;
2010-02-24;-0.96018;158.35;0.001;158.35;;1105.24;158.35;158.35;158.35;0.162335;0.331577;0.1979;
2010-02-25;-0.9965;159.613;6e-05;159.05;;1102.94;159.05;159.05;159.05;0.077005;0.011844;0.1172;
2010-02-26;-0.99543;158.034;0.00012;157.9;;1104.49;157.9;157.9;157.9;0.079865;0.025231;0.1273;
2010-03-01;-0.99648;146.672;8e-05;146.6;;1115.71;146.6;146.6;146.6;0.078692;0.014362;0.1144;
2010-03-02;-0.99523;144.022;0.00016;143.95;;1118.31;143.95;143.95;143.95;0.081249;0.029048;0.1231;
2010-03-03;-0.9967;143.43;8e-05;142.65;;1118.79;142.65;142.65;142.65;0.076639;0.01275;0.1131;
2010-03-04;-0.99712;139.154;6e-05;138.9;;1122.97;138.9;138.9;138.9;0.074427;0.008518;0.1066;
2010-03-05;-0.95013;124.85;0.00143;124.85;;1138.69;124.85;124.85;124.85;0.195262;0.378779;0.1814;
2010-03-08;-0.96587;124.252;0.00115;124.25;;1138.5;124.25;124.25;124.25;0.158743;0.264253;0.1703;
