SPX04101255P;DZ;FV;GM;MP;OI;OUP;PH;PL;PO;TA;VG;VL;VM
2010-03-04;-0.99665;134.207;9e-05;133.95;;1122.97;133.95;133.95;133.95;0.075198;0.013626;0.1066;
2010-03-05;-0.95277;119.701;0.00145;119.7;;1138.69;119.7;119.7;119.7;0.183966;0.361862;0.1718;
2010-03-08;-0.96351;119.301;0.00125;119.3;;1138.5;119.3;119.3;119.3;0.161812;0.28017;0.1666;
2010-03-09;-0.99612;116.469;0.00016;116.1;;1140.45;116.1;116.1;116.1;0.078597;0.022008;0.1051;
2010-03-10;-0.99763;111.293;5e-05;110.95;;1145.61;110.95;110.95;110.95;0.077317;0.005722;0.0886;
2010-03-11;-0.9969;106.584;0.00012;106.05;;1150.24;106.05;106.05;106.05;0.077737;0.014962;0.0945;
2010-03-12;-0.99654;106.787;0.00016;105.25;;1149.99;105.25;105.25;105.25;0.078799;0.018997;0.0989;
2010-03-15;-0.99832;106.1;1e-05;106.0;;1150.51;106.0;106.0;106.0;0.075264;0.000769;0.0783;
2010-03-16;-0.99668;97.122;0.00018;97.0;;1159.46;97.0;97.0;97.0;0.079726;0.018667;0.0958;
2010-03-17;-0.96212;91.0;0.00166;91.0;;1166.21;91.0;91.0;91.0;0.168867;0.262025;0.1461;
2010-03-18;-0.99551;90.649;0.00029;90.2;;1165.83;90.2;90.2;90.2;0.082347;0.029995;0.0982;
2010-03-19;-0.99861;96.484;;95.55;;1159.9;95.55;95.55;95.55;0.073644;5.4e-05;0.0655;
2010-03-22;-0.99741;90.427;0.00015;89.9;;1165.81;89.9;89.9;89.9;0.077728;0.01339;0.0969;
2010-03-23;-0.98425;82.2;0.00102;82.2;;1174.17;82.2;82.2;82.2;0.115539;0.108873;0.1226;
2010-03-24;-0.99729;88.345;0.00018;87.35;;1167.72;87.35;87.35;87.35;0.073967;0.014656;0.1003;
2010-03-25;-0.99863;90.297;4e-05;89.1;;1165.73;89.1;89.1;89.1;0.071586;0.00303;0.0903;
2010-03-26;-0.99889;89.402;1e-05;88.2;;1166.58;88.2;88.2;88.2;0.071321;0.000897;0.0836;
2010-03-29;-0.97706;82.95;0.00134;82.95;;1173.22;82.95;82.95;82.95;0.15907;0.133211;0.1555;
2010-03-30;-0.99916;82.547;;82.4;;1173.27;82.4;82.4;82.4;0.074007;0.000197;0.0786;
2010-03-31;-0.99904;86.345;3e-05;86.3;;1169.43;86.3;86.3;86.3;0.075534;0.001719;0.0987;
2010-04-01;-0.99639;77.65;0.00033;77.65;;1178.1;77.65;77.65;77.65;0.08735;0.020429;0.1177;
2010-04-02;-0.99639;77.65;0.00033;77.65;;1178.1;;;;0.08735;0.020429;0.1177;
2010-04-05;-0.99142;68.15;0.00081;68.15;;1187.44;68.15;68.15;68.15;0.118097;0.043396;0.1394;
2010-04-06;-0.99948;66.027;1e-05;65.4;1.0;1189.44;67.35;67.35;67.35;0.075443;0.000462;0.0894;1.0
2010-04-07;-0.9995;72.962;2e-05;72.8;1.0;1182.45;72.8;72.8;72.8;0.074995;0.000593;0.1074;
2010-04-08;-0.99964;68.917;;67.8;1.0;1186.44;67.8;67.8;67.8;0.073845;;0.0696;
2010-04-09;-0.99969;60.939;;58.6;3.0;1194.37;64.1;64.1;64.1;0.074434;;0.06;2.0
2010-04-12;-0.98189;58.85;0.00163;58.85;3.0;1196.48;58.85;58.85;58.85;0.362977;0.047928;0.2504;
2010-04-13;-0.93652;58.8;0.0034;58.8;3.0;1197.3;58.8;58.8;58.8;1.717856;0.110187;0.413;
2010-04-14;-0.96355;44.75;0.0033;44.75;3.0;1210.65;44.75;44.75;44.75;1.46983;0.050565;0.3815;
2010-04-15;;;;44.55;;1211.67;44.55;41.4;41.4;;;;3.0
2008-04-15;;;;;;1334.43;;;;;;;
2008-04-16;;;;;;1364.71;;;;;;;
2008-04-17;;;;;;1365.56;;;;;;;
2008-04-18;;;;;;1390.332;;;;;;;
2008-04-21;;;;;;1388.17;;;;;;;
2008-04-22;;;;;;1375.94;;;;;;;
2008-04-23;;;;;;1379.93;;;;;;;
2008-04-24;;;;;;1388.82;;;;;;;
2008-04-25;;;;;;1397.84;;;;;;;
2008-04-28;;;;;;1396.37;;;;;;;
2008-04-29;;;;;;1390.94;;;;;;;
2008-04-30;;;;;;1385.59;;;;;;;
2008-05-01;;;;;;1409.34;;;;;;;
2008-05-02;;;;;;1413.897;;;;;;;
2008-05-05;;;;;;1407.49;;;;;;;
2008-05-06;;;;;;1418.26;;;;;;;
2008-05-07;;;;;;1392.57;;;;;;;
2008-05-08;;;;;;1397.68;;;;;;;
2008-05-09;;;;;;1388.281;;;;;;;
2008-05-12;;;;;;1403.58;;;;;;;
2008-05-13;;;;;;1403.04;;;;;;;
2008-05-14;;;;;;1408.66;;;;;;;
2008-05-15;;;;;;1423.57;;;;;;;
2008-05-16;;;;;;1425.346;;;;;;;
2008-05-19;;;;;;1426.63;;;;;;;
2008-05-20;;;;;;1413.398;;;;;;;
2008-05-21;;;;;;1390.71;;;;;;;
2008-05-22;;;;;;1394.35;;;;;;;
2008-05-23;;;;;;1375.932;;;;;;;
2008-05-26;;;;;;1375.932;;;;;;;
2008-05-27;;;;;;1385.35;;;;;;;
2008-05-28;;;;;;1390.84;;;;;;;
