NASCOMP;DSRI;IDV;MV;PH;PI;PL;PO;RI
1973-01-02;100.0;;;;134.63;;;
1973-01-03;101.43;;;;135.38;;;
1973-01-04;102.1;;;;135.44;;;
1973-01-05;102.24;;;;135.91;;;
1973-01-08;102.52;;;;136.02;;;
1973-01-09;101.91;;;;135.99;;;
1973-01-10;100.98;;;;136.06;;;
1973-01-11;101.43;;;;136.84;;;
1973-01-12;100.37;;;;136.01;;;
1973-01-15;99.5;;;;134.6;;;
1973-01-16;99.29;;;;134.03;;;
1973-01-17;99.72;;;;134.07;;;
1973-01-18;100.0;;;;134.34;;;
1973-01-19;99.49;;;;133.87;;;
1973-01-22;99.4;;;;133.15;;;
1973-01-23;99.0;;;;132.44;;;
1973-01-24;99.21;;;;130.49;;;
1973-01-25;99.22;;;;130.49;;;
1973-01-26;98.55;;;;129.76;;;
1973-01-29;99.43;;;;128.46;;;
1973-01-30;98.72;;;;128.22;;;
1973-01-31;98.45;;;;128.4;;;
1973-02-01;98.04;;;;126.94;;;
1973-02-02;96.53;;;;126.48;;;
1973-02-05;96.53;;;;126.0;;;
1973-02-06;96.04;;;;126.27;;;
1973-02-07;95.06;;;;124.99;;;
1973-02-08;94.66;;;;123.97;;;
1973-02-09;95.05;;;;125.86;;;
1973-02-12;97.01;;;;126.88;;;
1973-02-13;98.16;;;;127.19;;;
1973-02-14;97.76;;;;125.42;;;
1973-02-15;98.39;;;;124.43;;;
1973-02-16;99.01;;;;124.55;;;
1973-02-19;99.02;;;;124.55;;;
1973-02-20;100.35;;;;125.01;;;
1973-02-21;100.3;;;;123.95;;;
1973-02-22;100.66;;;;123.68;;;
1973-02-23;100.31;;;;122.34;;;
1973-02-26;99.89;;;;121.27;;;
1973-02-27;100.31;;;;119.8;;;
1973-02-28;100.4;;;;120.41;;;
1973-03-01;101.13;;;;119.53;;;
1973-03-02;101.12;;;;120.11;;;
1973-03-05;99.02;;;;120.55;;;
1973-03-06;99.85;;;;121.91;;;
1973-03-07;99.98;;;;122.28;;;
1973-03-08;100.17;;;;122.11;;;
1973-03-09;100.55;;;;121.99;;;
1973-03-12;100.2;;;;121.86;;;
1973-03-13;100.45;;;;122.09;;;
1973-03-14;100.7;;;;122.1;;;
1973-03-15;101.03;;;;121.6;;;
1973-03-16;99.67;;;;121.22;;;
1973-03-19;98.74;;;;119.94;;;
1973-03-20;98.56;;;;119.26;;;
1973-03-21;98.34;;;;117.89;;;
1973-03-22;98.1;;;;115.69;;;
1973-03-23;97.98;;;;115.47;;;
1973-03-26;97.7;;;;115.54;;;
1973-03-27;98.23;;;;116.89;;;
1973-03-28;98.48;;;;117.14;;;
1973-03-29;99.24;;;;118.19;;;
1973-03-30;99.25;;;;117.46;;;
1973-04-02;98.08;;;;115.79;;;
1973-04-03;97.38;;;;114.47;;;
1973-04-04;97.04;;;;112.89;;;
1973-04-05;96.92;;;;112.02;;;
1973-04-06;96.99;;;;113.27;;;
1973-04-09;96.86;;;;114.01;;;
1973-04-10;96.58;;;;114.81;;;
1973-04-11;96.62;;;;115.29;;;
1973-04-12;95.85;;;;115.59;;;
1973-04-13;95.43;;;;115.22;;;
1973-04-16;94.74;;;;114.55;;;
1973-04-17;94.54;;;;113.64;;;
1973-04-18;95.56;;;;113.71;;;
1973-04-19;95.88;;;;114.15;;;
1973-04-20;95.89;;;;114.15;;;
1973-04-23;94.44;;;;113.02;;;
1973-04-24;94.11;;;;111.23;;;
1973-04-25;93.37;;;;109.37;;;
1973-04-26;93.87;;;;109.72;;;
1973-04-27;93.11;;;;108.4;;;
1973-04-30;92.31;;;;107.85;;;
1973-05-01;92.7;;;;107.96;;;
1973-05-02;93.16;;;;109.05;;;
1973-05-03;93.33;;;;109.81;;;
1973-05-04;93.96;;;;110.89;;;
1973-05-07;93.94;;;;110.48;;;
1973-05-08;94.17;;;;110.67;;;
1973-05-09;93.72;;;;110.54;;;
1973-05-10;95.62;;;;110.32;;;
1973-05-11;95.8;;;;109.1;;;
1973-05-14;97.03;;;;106.46;;;
1973-05-15;96.54;;;;106.14;;;
1973-05-16;96.8;;;;106.1;;;
1973-05-17;95.22;;;;105.19;;;
1973-05-18;95.67;;;;102.89;;;
1973-05-21;93.82;;;;100.76;;;
1973-05-22;94.36;;;;101.59;;;
1973-05-23;93.62;;;;102.09;;;
1973-05-24;93.94;;;;104.27;;;
1973-05-25;93.58;;;;105.17;;;
1973-05-28;93.59;;;;105.17;;;
1973-05-29;93.8;;;;104.85;;;
1973-05-30;94.05;;;;103.19;;;
1973-05-31;93.99;;;;102.64;;;
1973-06-01;93.93;;;;102.3;;;
1973-06-04;93.36;;;;100.77;;;
1973-06-05;93.99;;;;101.71;;;
1973-06-06;94.24;;;;101.7;;;
1973-06-07;94.36;;;;102.57;;;
1973-06-08;95.35;;;;103.72;;;
1973-06-11;94.32;;;;103.04;;;
1973-06-12;95.42;;;;104.79;;;
1973-06-13;94.88;;;;104.33;;;
1973-06-14;94.45;;;;103.56;;;
1973-06-15;93.87;;;;102.26;;;
1973-06-18;92.74;;;;100.77;;;
1973-06-19;92.96;;;;100.96;;;
1973-06-20;93.45;;;;101.19;;;
1973-06-21;93.18;;;;100.4;;;
1973-06-22;93.94;;;;100.99;;;
1973-06-25;93.07;;;;99.43;;;
1973-06-26;92.82;;;;99.96;;;
1973-06-27;93.26;;;;100.22;;;
1973-06-28;93.93;;;;101.16;;;
1973-06-29;93.86;;;;100.98;;;
1973-07-02;93.06;;;;100.15;;;
1973-07-03;92.76;;;;99.45;;;
1973-07-04;92.76;;;;99.45;;;
1973-07-05;93.07;;;;99.39;;;
1973-07-06;93.76;;;;99.48;;;
1973-07-09;94.06;;;;100.01;;;
1973-07-10;93.83;;;;101.18;;;
1973-07-11;94.52;;;;102.69;;;
1973-07-12;95.28;;;;103.17;;;
1973-07-13;95.77;;;;103.03;;;
1973-07-16;95.88;;;;103.97;;;
1973-07-17;96.39;;;;104.64;;;
1973-07-18;96.3;;;;105.77;;;
1973-07-19;96.87;;;;106.52;;;
1973-07-20;97.67;;;;107.68;;;
1973-07-23;97.88;;;;107.75;;;
1973-07-24;98.27;;;;108.29;;;
1973-07-25;98.91;;;;109.19;;;
1973-07-26;98.71;;;;109.17;;;
1973-07-27;98.16;;;;109.36;;;
1973-07-30;98.28;;;;108.88;;;
1973-07-31;97.49;;;;108.64;;;
1973-08-01;96.63;;;;107.13;;;
1973-08-02;96.53;;;;106.98;;;
1973-08-03;96.06;;;;106.82;;;
1973-08-06;95.62;;;;107.21;;;
1973-08-07;95.95;;;;107.3;;;
1973-08-08;95.12;;;;106.13;;;
1973-08-09;94.62;;;;106.15;;;
1973-08-10;93.47;;;;105.32;;;
1973-08-13;92.96;;;;104.35;;;
1973-08-14;92.67;;;;103.59;;;
1973-08-15;92.85;;;;103.35;;;
1973-08-16;92.47;;;;103.31;;;
1973-08-17;92.4;;;;103.71;;;
1973-08-20;92.1;;;;102.67;;;
1973-08-21;91.91;;;;102.12;;;
1973-08-22;91.76;;;;101.34;;;
1973-08-23;91.71;;;;102.53;;;
1973-08-24;90.81;;;;102.4;;;
1973-08-27;91.03;;;;102.91;;;
1973-08-28;90.88;;;;102.99;;;
1973-08-29;91.22;;;;103.79;;;
1973-08-30;91.92;;;;103.99;;;
1973-08-31;89.64;;;;104.87;;;
1973-09-03;89.65;;;;104.87;;;
1973-09-04;89.49;;;;105.5;;;
1973-09-05;89.32;;;;106.03;;;
1973-09-06;89.31;;;;106.36;;;
1973-09-07;89.7;;;;107.02;;;
1973-09-10;89.4;;;;106.25;;;
1973-09-11;88.69;;;;105.77;;;
1973-09-12;88.47;;;;105.33;;;
1973-09-13;88.23;;;;105.6;;;
1973-09-14;88.21;;;;106.07;;;
1973-09-17;88.72;;;;106.27;;;
1973-09-18;88.29;;;;106.3;;;
1973-09-19;88.53;;;;107.91;;;
1973-09-20;89.09;;;;108.76;;;
1973-09-21;89.19;;;;109.46;;;
1973-09-24;88.9;;;;109.69;;;
1973-09-25;89.26;;;;110.62;;;
1973-09-26;90.15;;;;110.62;;;
1973-09-27;90.77;;;;111.27;;;
1973-09-28;91.13;;;;111.2;;;
1973-10-01;91.24;;;;110.97;;;
1973-10-02;91.99;;;;111.76;;;
1973-10-03;91.59;;;;112.13;;;
1973-10-04;91.35;;;;111.51;;;
1973-10-05;91.5;;;;112.56;;;
1973-10-08;91.34;;;;113.17;;;
1973-10-09;90.94;;;;113.07;;;
1973-10-10;90.88;;;;112.17;;;
1973-10-11;91.23;;;;113.56;;;
1973-10-12;91.51;;;;114.1;;;
1973-10-15;90.75;;;;113.13;;;
1973-10-16;90.59;;;;113.14;;;
1973-10-17;90.52;;;;112.66;;;
1973-10-18;90.68;;;;112.82;;;
1973-10-19;90.72;;;;113.25;;;
1973-10-22;90.38;;;;112.29;;;
1973-10-23;90.88;;;;111.81;;;
1973-10-24;92.0;;;;112.13;;;
1973-10-25;91.48;;;;112.31;;;
1973-10-26;91.24;;;;112.79;;;
1973-10-29;91.18;;;;112.09;;;
1973-10-30;91.47;;;;110.63;;;
1973-10-31;91.53;;;;110.17;;;
1973-11-01;90.25;;;;109.62;;;
1973-11-02;89.81;;;;108.93;;;
1973-11-05;88.95;;;;107.21;;;
1973-11-06;88.23;;;;106.29;;;
1973-11-07;88.05;;;;106.72;;;
1973-11-08;88.5;;;;107.31;;;
1973-11-09;87.43;;;;105.77;;;
1973-11-12;85.22;;;;105.08;;;
1973-11-13;83.16;;;;104.74;;;
1973-11-14;82.15;;;;101.98;;;
1973-11-15;81.12;;;;101.63;;;
1973-11-16;80.91;;;;101.38;;;
1973-11-19;79.25;;;;99.0;;;
1973-11-20;78.12;;;;96.58;;;
1973-11-21;78.29;;;;97.32;;;
1973-11-22;78.29;;;;97.32;;;
1973-11-23;77.58;;;;97.3;;;
1973-11-26;75.84;;;;94.13;;;
1973-11-27;76.02;;;;93.07;;;
1973-11-28;77.64;;;;94.94;;;
1973-11-29;77.81;;;;94.62;;;
1973-11-30;77.49;;;;93.51;;;
1973-12-03;77.09;;;;91.97;;;
1973-12-04;75.78;;;;91.56;;;
1973-12-05;74.63;;;;89.73;;;
1973-12-06;75.13;;;;91.27;;;
1973-12-07;74.63;;;;92.32;;;
1973-12-10;73.66;;;;93.54;;;
1973-12-11;73.2;;;;92.2;;;
1973-12-12;72.48;;;;90.81;;;
1973-12-13;70.61;;;;89.12;;;
1973-12-14;70.34;;;;89.63;;;
1973-12-17;70.01;;;;89.13;;;
1973-12-18;69.48;;;;90.56;;;
1973-12-19;70.04;;;;90.24;;;
1973-12-20;71.55;;;;90.27;;;
1973-12-21;71.22;;;;89.52;;;
1973-12-24;69.89;;;;88.67;;;
1973-12-25;69.9;;;;88.67;;;
1973-12-26;72.75;;;;90.19;;;
1973-12-27;74.03;;;;91.25;;;
1973-12-28;73.43;;;;91.68;;;
1973-12-31;73.65;;;;92.19;;;
1974-01-01;73.66;;;;92.19;;;
1974-01-02;74.26;;;;92.53;;;
1974-01-03;74.99;;;;94.18;;;
1974-01-04;74.12;;;;94.1;;;
1974-01-07;72.86;;;;94.47;;;
1974-01-08;72.4;;;;94.02;;;
1974-01-09;71.66;;;;92.2;;;
1974-01-10;71.61;;;;91.42;;;
1974-01-11;72.78;;;;92.23;;;
1974-01-14;73.24;;;;92.4;;;
1974-01-15;73.65;;;;93.07;;;
1974-01-16;73.9;;;;94.49;;;
1974-01-17;74.43;;;;95.95;;;
1974-01-18;74.64;;;;95.32;;;
1974-01-21;74.35;;;;94.48;;;
1974-01-22;74.34;;;;95.29;;;
1974-01-23;75.28;;;;95.76;;;
1974-01-24;76.16;;;;95.61;;;
1974-01-25;76.38;;;;95.4;;;
1974-01-28;77.64;;;;95.02;;;
1974-01-29;77.05;;;;94.56;;;
1974-01-30;77.27;;;;95.17;;;
1974-01-31;76.6;;;;94.93;;;
1974-02-01;76.16;;;;94.15;;;
1974-02-04;76.49;;;;92.89;;;
1974-02-05;76.36;;;;92.46;;;
1974-02-06;77.08;;;;92.74;;;
1974-02-07;76.94;;;;92.81;;;
1974-02-08;77.64;;;;92.2;;;
1974-02-11;77.69;;;;91.13;;;
1974-02-12;77.67;;;;90.5;;;
1974-02-13;77.62;;;;90.08;;;
1974-02-14;77.46;;;;90.21;;;
1974-02-15;78.24;;;;90.98;;;
1974-02-18;78.25;;;;90.98;;;
1974-02-19;77.78;;;;90.82;;;
1974-02-20;78.5;;;;91.56;;;
1974-02-21;79.16;;;;92.17;;;
1974-02-22;79.54;;;;92.93;;;
1974-02-25;79.48;;;;92.72;;;
1974-02-26;79.6;;;;93.11;;;
1974-02-27;79.39;;;;94.06;;;
1974-02-28;79.57;;;;94.35;;;
1974-03-01;78.88;;;;94.05;;;
1974-03-04;78.87;;;;93.8;;;
1974-03-05;79.3;;;;94.71;;;
1974-03-06;79.22;;;;95.12;;;
1974-03-07;79.11;;;;94.53;;;
1974-03-08;79.3;;;;95.17;;;
1974-03-11;79.68;;;;95.87;;;
1974-03-12;79.68;;;;95.8;;;
1974-03-13;79.63;;;;96.33;;;
1974-03-14;80.11;;;;96.51;;;
1974-03-15;80.33;;;;96.53;;;
1974-03-18;79.82;;;;95.37;;;
1974-03-19;79.62;;;;94.75;;;
1974-03-20;79.72;;;;94.95;;;
1974-03-21;79.71;;;;95.36;;;
1974-03-22;79.78;;;;95.45;;;
1974-03-25;79.71;;;;95.35;;;
1974-03-26;79.93;;;;95.27;;;
1974-03-27;79.62;;;;94.21;;;
1974-03-28;78.76;;;;92.87;;;
1974-03-29;78.49;;;;92.27;;;
1974-04-01;77.38;;;;91.9;;;
1974-04-02;77.86;;;;92.03;;;
1974-04-03;78.23;;;;92.13;;;
1974-04-04;77.54;;;;91.88;;;
1974-04-05;77.32;;;;90.7;;;
1974-04-08;77.21;;;;89.92;;;
1974-04-09;77.8;;;;90.18;;;
1974-04-10;77.72;;;;89.87;;;
1974-04-11;77.53;;;;89.79;;;
1974-04-12;77.54;;;;89.79;;;
1974-04-15;77.94;;;;89.42;;;
1974-04-16;77.97;;;;90.33;;;
1974-04-17;78.05;;;;90.72;;;
1974-04-18;78.83;;;;90.9;;;
1974-04-19;79.01;;;;90.31;;;
1974-04-22;78.89;;;;90.27;;;
1974-04-23;78.21;;;;88.47;;;
1974-04-24;77.55;;;;86.95;;;
1974-04-25;76.81;;;;86.04;;;
1974-04-26;76.69;;;;86.24;;;
1974-04-29;76.76;;;;86.46;;;
1974-04-30;77.02;;;;86.86;;;
1974-05-01;77.18;;;;87.63;;;
1974-05-02;77.48;;;;87.97;;;
1974-05-03;77.52;;;;87.47;;;
1974-05-06;77.3;;;;87.31;;;
1974-05-07;77.77;;;;86.66;;;
1974-05-08;77.33;;;;85.74;;;
1974-05-09;77.57;;;;85.81;;;
1974-05-10;76.82;;;;84.3;;;
1974-05-13;76.37;;;;83.18;;;
1974-05-14;76.13;;;;83.16;;;
1974-05-15;76.04;;;;83.51;;;
1974-05-16;76.26;;;;83.5;;;
1974-05-17;76.1;;;;81.93;;;
1974-05-20;75.59;;;;81.43;;;
1974-05-21;75.18;;;;81.29;;;
1974-05-22;75.35;;;;80.72;;;
1974-05-23;74.94;;;;80.55;;;
1974-05-24;74.91;;;;81.45;;;
1974-05-27;74.92;;;;81.45;;;
1974-05-28;74.35;;;;81.06;;;
1974-05-29;74.07;;;;79.78;;;
1974-05-30;73.98;;;;80.09;;;
1974-05-31;73.68;;;;80.2;;;
1974-06-03;73.43;;;;81.08;;;
1974-06-04;73.81;;;;81.77;;;
1974-06-05;75.36;;;;82.21;;;
1974-06-06;74.96;;;;83.2;;;
1974-06-07;74.86;;;;83.71;;;
1974-06-10;74.64;;;;83.92;;;
1974-06-11;74.49;;;;83.34;;;
1974-06-12;74.4;;;;83.1;;;
1974-06-13;74.05;;;;83.24;;;
1974-06-14;73.91;;;;82.76;;;
1974-06-17;73.16;;;;81.54;;;
1974-06-18;72.78;;;;81.25;;;
1974-06-19;72.47;;;;80.66;;;
1974-06-20;71.76;;;;79.85;;;
1974-06-21;71.32;;;;79.11;;;
1974-06-24;70.91;;;;78.88;;;
1974-06-25;71.16;;;;79.35;;;
1974-06-26;70.99;;;;78.27;;;
1974-06-27;70.52;;;;76.83;;;
1974-06-28;70.19;;;;75.96;;;
1974-07-01;69.9;;;;75.39;;;
1974-07-02;68.99;;;;73.81;;;
1974-07-03;68.55;;;;73.66;;;
1974-07-04;68.55;;;;73.66;;;
1974-07-05;67.57;;;;73.57;;;
1974-07-08;66.07;;;;70.96;;;
1974-07-09;66.04;;;;70.59;;;
1974-07-10;65.68;;;;69.82;;;
1974-07-11;65.69;;;;69.95;;;
1974-07-12;66.06;;;;71.68;;;
1974-07-15;65.71;;;;71.98;;;
1974-07-16;65.98;;;;71.63;;;
1974-07-17;66.57;;;;72.71;;;
1974-07-18;66.41;;;;72.81;;;
1974-07-19;66.74;;;;73.4;;;
1974-07-22;66.56;;;;73.42;;;
1974-07-23;66.94;;;;74.44;;;
1974-07-24;66.54;;;;74.63;;;
1974-07-25;66.14;;;;73.51;;;
1974-07-26;65.87;;;;72.83;;;
1974-07-29;64.75;;;;71.49;;;
1974-07-30;64.43;;;;71.3;;;
1974-07-31;63.76;;;;69.99;;;
1974-08-01;63.26;;;;69.63;;;
1974-08-02;62.15;;;;69.4;;;
1974-08-05;61.47;;;;69.67;;;
1974-08-06;61.38;;;;70.53;;;
1974-08-07;62.26;;;;71.68;;;
1974-08-08;61.77;;;;70.66;;;
1974-08-09;61.76;;;;70.69;;;
1974-08-12;61.67;;;;70.36;;;
1974-08-13;60.82;;;;68.82;;;
1974-08-14;60.62;;;;67.25;;;
1974-08-15;60.56;;;;66.88;;;
1974-08-16;61.02;;;;65.86;;;
1974-08-19;59.66;;;;65.13;;;
1974-08-20;59.89;;;;65.72;;;
1974-08-21;59.11;;;;64.92;;;
1974-08-22;58.94;;;;63.59;;;
1974-08-23;58.63;;;;62.57;;;
1974-08-26;57.98;;;;62.94;;;
1974-08-27;58.84;;;;62.34;;;
1974-08-28;57.92;;;;62.43;;;
1974-08-29;57.9;;;;61.37;;;
1974-08-30;58.76;;;;62.37;;;
1974-09-02;58.77;;;;62.37;;;
1974-09-03;58.37;;;;60.88;;;
1974-09-04;57.23;;;;58.95;;;
1974-09-05;58.23;;;;60.22;;;
1974-09-06;57.72;;;;60.7;;;
1974-09-09;57.66;;;;59.37;;;
1974-09-10;56.74;;;;58.97;;;
1974-09-11;56.84;;;;58.96;;;
1974-09-12;56.38;;;;57.71;;;
1974-09-13;55.87;;;;56.66;;;
1974-09-16;55.78;;;;57.24;;;
1974-09-17;55.1;;;;57.72;;;
1974-09-18;55.57;;;;58.12;;;
1974-09-19;56.16;;;;59.52;;;
1974-09-20;55.88;;;;59.9;;;
1974-09-23;55.83;;;;59.66;;;
1974-09-24;55.4;;;;58.84;;;
1974-09-25;55.44;;;;58.76;;;
1974-09-26;54.86;;;;57.87;;;
1974-09-27;54.23;;;;57.12;;;
1974-09-30;53.74;;;;55.67;;;
1974-10-01;53.65;;;;55.48;;;
1974-10-02;53.68;;;;55.67;;;
1974-10-03;52.65;;;;54.87;;;
1974-10-04;52.35;;;;55.16;;;
1974-10-07;52.27;;;;55.16;;;
1974-10-08;51.62;;;;56.13;;;
1974-10-09;51.44;;;;57.57;;;
1974-10-10;52.14;;;;59.13;;;
1974-10-11;53.36;;;;60.42;;;
1974-10-14;54.37;;;;61.73;;;
1974-10-15;54.73;;;;61.4;;;
1974-10-16;54.61;;;;61.19;;;
1974-10-17;54.51;;;;62.04;;;
1974-10-18;55.06;;;;62.75;;;
1974-10-21;55.42;;;;63.82;;;
1974-10-22;55.2;;;;64.14;;;
1974-10-23;54.94;;;;63.4;;;
1974-10-24;54.58;;;;62.6;;;
1974-10-25;54.96;;;;62.88;;;
1974-10-28;54.12;;;;62.5;;;
1974-10-29;55.33;;;;63.67;;;
1974-10-30;55.73;;;;64.88;;;
1974-10-31;56.14;;;;65.23;;;
1974-11-01;55.76;;;;65.06;;;
1974-11-04;55.65;;;;64.62;;;
1974-11-05;56.72;;;;65.99;;;
1974-11-06;56.66;;;;66.11;;;
1974-11-07;56.98;;;;66.64;;;
1974-11-08;57.71;;;;66.51;;;
1974-11-11;57.9;;;;66.72;;;
1974-11-12;57.16;;;;65.36;;;
1974-11-13;56.86;;;;64.98;;;
1974-11-14;56.91;;;;65.04;;;
1974-11-15;56.56;;;;64.41;;;
1974-11-18;55.42;;;;62.09;;;
1974-11-19;54.31;;;;60.93;;;
1974-11-20;54.55;;;;60.75;;;
1974-11-21;54.77;;;;61.49;;;
1974-11-22;55.43;;;;62.07;;;
1974-11-25;55.69;;;;61.68;;;
1974-11-26;56.36;;;;62.65;;;
1974-11-27;56.55;;;;62.8;;;
1974-11-28;56.56;;;;62.8;;;
1974-11-29;56.36;;;;62.95;;;
1974-12-02;55.88;;;;61.66;;;
1974-12-03;55.08;;;;60.5;;;
1974-12-04;55.14;;;;60.41;;;
1974-12-05;54.81;;;;58.92;;;
1974-12-06;54.22;;;;58.21;;;
1974-12-09;54.87;;;;57.91;;;
1974-12-10;54.92;;;;58.76;;;
1974-12-11;54.84;;;;59.27;;;
1974-12-12;54.56;;;;59.36;;;
1974-12-13;54.37;;;;59.22;;;
1974-12-16;54.8;;;;58.85;;;
1974-12-17;54.72;;;;59.18;;;
1974-12-18;55.16;;;;59.63;;;
1974-12-19;54.94;;;;59.46;;;
1974-12-20;54.66;;;;58.67;;;
1974-12-23;54.38;;;;57.86;;;
1974-12-24;54.0;;;;58.31;;;
1974-12-25;54.01;;;;58.31;;;
1974-12-26;54.43;;;;58.88;;;
1974-12-27;54.25;;;;58.74;;;
1974-12-30;54.39;;;;58.78;;;
1974-12-31;54.5;;;;59.82;;;
1975-01-01;54.51;;;;59.82;;;
1975-01-02;54.59;;;;60.7;;;
1975-01-03;54.61;;;;61.23;;;
1975-01-06;54.15;;;;61.74;;;
1975-01-07;54.39;;;;61.89;;;
1975-01-08;53.99;;;;61.5;;;
1975-01-09;53.96;;;;62.37;;;
1975-01-10;54.89;;;;63.69;;;
1975-01-13;55.02;;;;63.34;;;
1975-01-14;55.12;;;;63.11;;;
1975-01-15;55.45;;;;63.87;;;
1975-01-16;56.09;;;;64.8;;;
1975-01-17;56.39;;;;64.4;;;
1975-01-20;56.07;;;;64.44;;;
1975-01-21;55.93;;;;64.18;;;
1975-01-22;56.23;;;;64.12;;;
1975-01-23;56.8;;;;64.49;;;
1975-01-24;57.78;;;;65.38;;;
1975-01-27;59.07;;;;67.04;;;
1975-01-28;59.84;;;;67.92;;;
1975-01-29;61.93;;;;69.08;;;
1975-01-30;61.94;;;;68.99;;;
1975-01-31;62.28;;;;69.78;;;
1975-02-03;63.32;;;;70.73;;;
1975-02-04;62.91;;;;70.13;;;
1975-02-05;64.54;;;;71.07;;;
1975-02-06;64.23;;;;71.46;;;
1975-02-07;64.16;;;;71.12;;;
1975-02-10;65.73;;;;70.82;;;
1975-02-11;65.22;;;;70.83;;;
1975-02-12;65.71;;;;71.59;;;
1975-02-13;67.16;;;;72.88;;;
1975-02-14;67.02;;;;73.26;;;
1975-02-17;67.03;;;;73.26;;;
1975-02-18;66.3;;;;72.47;;;
1975-02-19;66.26;;;;72.87;;;
1975-02-20;66.96;;;;73.58;;;
1975-02-21;67.6;;;;73.79;;;
1975-02-24;68.64;;;;73.14;;;
1975-02-25;68.46;;;;72.07;;;
1975-02-26;68.87;;;;72.24;;;
1975-02-27;69.29;;;;72.53;;;
1975-02-28;69.26;;;;73.0;;;
1975-03-03;69.38;;;;73.83;;;
1975-03-04;69.33;;;;74.21;;;
1975-03-05;69.16;;;;73.9;;;
1975-03-06;69.48;;;;74.03;;;
1975-03-07;69.59;;;;74.4;;;
1975-03-10;70.39;;;;74.88;;;
1975-03-11;70.33;;;;75.04;;;
1975-03-12;70.11;;;;74.13;;;
1975-03-13;69.54;;;;74.68;;;
1975-03-14;69.68;;;;76.07;;;
1975-03-17;69.28;;;;76.27;;;
1975-03-18;69.57;;;;76.18;;;
1975-03-19;69.07;;;;75.67;;;
1975-03-20;68.95;;;;75.78;;;
1975-03-21;68.8;;;;75.92;;;
1975-03-24;67.99;;;;74.42;;;
1975-03-25;68.07;;;;74.33;;;
1975-03-26;68.54;;;;75.56;;;
1975-03-27;69.18;;;;76.18;;;
1975-03-28;69.19;;;;76.18;;;
1975-03-31;69.73;;;;75.66;;;
1975-04-01;69.33;;;;75.42;;;
1975-04-02;69.82;;;;75.62;;;
1975-04-03;70.1;;;;74.95;;;
1975-04-04;69.87;;;;74.73;;;
1975-04-07;69.17;;;;74.34;;;
1975-04-08;69.29;;;;74.53;;;
1975-04-09;70.02;;;;75.4;;;
1975-04-10;70.19;;;;75.76;;;
1975-04-11;69.82;;;;76.31;;;
1975-04-14;70.74;;;;77.33;;;
1975-04-15;70.55;;;;77.51;;;
1975-04-16;70.57;;;;78.0;;;
1975-04-17;71.12;;;;78.26;;;
1975-04-18;70.62;;;;78.08;;;
1975-04-21;70.26;;;;79.08;;;
1975-04-22;70.2;;;;78.54;;;
1975-04-23;70.22;;;;78.24;;;
1975-04-24;70.12;;;;78.07;;;
1975-04-25;70.39;;;;78.64;;;
1975-04-28;71.39;;;;78.28;;;
1975-04-29;71.35;;;;77.82;;;
1975-04-30;71.83;;;;78.54;;;
1975-05-01;72.43;;;;79.27;;;
1975-05-02;73.13;;;;80.25;;;
1975-05-05;73.41;;;;81.14;;;
1975-05-06;73.61;;;;80.81;;;
1975-05-07;74.61;;;;81.31;;;
1975-05-08;75.03;;;;82.12;;;
1975-05-09;74.8;;;;82.82;;;
1975-05-12;75.01;;;;82.3;;;
1975-05-13;74.72;;;;82.35;;;
1975-05-14;74.68;;;;82.91;;;
1975-05-15;75.28;;;;82.79;;;
1975-05-16;75.74;;;;82.44;;;
1975-05-19;75.8;;;;81.99;;;
1975-05-20;75.8;;;;81.82;;;
1975-05-21;75.24;;;;80.95;;;
1975-05-22;75.53;;;;81.56;;;
1975-05-23;75.85;;;;82.62;;;
1975-05-26;75.86;;;;82.62;;;
1975-05-27;75.63;;;;82.49;;;
1975-05-28;75.24;;;;81.98;;;
1975-05-29;75.11;;;;81.78;;;
1975-05-30;75.18;;;;83.1;;;
1975-06-02;75.55;;;;83.88;;;
1975-06-03;75.58;;;;84.14;;;
1975-06-04;75.78;;;;84.04;;;
1975-06-05;76.04;;;;84.24;;;
1975-06-06;76.17;;;;84.77;;;
1975-06-09;75.33;;;;84.01;;;
1975-06-10;75.21;;;;83.4;;;
1975-06-11;75.63;;;;83.6;;;
1975-06-12;75.25;;;;82.99;;;
1975-06-13;75.42;;;;83.43;;;
1975-06-16;75.27;;;;84.01;;;
1975-06-17;75.31;;;;83.43;;;
1975-06-18;75.04;;;;83.47;;;
1975-06-19;75.2;;;;84.55;;;
1975-06-20;75.55;;;;85.24;;;
1975-06-23;75.92;;;;85.77;;;
1975-06-24;75.66;;;;86.23;;;
1975-06-25;75.4;;;;86.3;;;
1975-06-26;75.04;;;;86.45;;;
1975-06-27;75.08;;;;86.5;;;
1975-06-30;75.44;;;;87.02;;;
1975-07-01;75.96;;;;86.33;;;
1975-07-02;75.7;;;;85.64;;;
1975-07-03;75.5;;;;86.2;;;
1975-07-04;75.51;;;;86.2;;;
1975-07-07;74.66;;;;85.6;;;
1975-07-08;74.98;;;;85.39;;;
1975-07-09;75.97;;;;86.5;;;
1975-07-10;75.79;;;;86.83;;;
1975-07-11;75.59;;;;87.2;;;
1975-07-14;75.69;;;;87.58;;;
1975-07-15;76.09;;;;88.0;;;
1975-07-16;75.55;;;;87.39;;;
1975-07-17;75.24;;;;87.13;;;
1975-07-18;74.94;;;;87.02;;;
1975-07-21;74.25;;;;86.77;;;
